TEST_IMAGE,AMAZON_ASIN,THRESHOLD_5,THRESHOLD_10,THRESHOLD_15,THRESHOLD_20,THRESHOLD_25,THRESHOLD_30
immagine con coso O.jpg,B0CJHV55L1,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0GVBJC98Z,PASS,PASS,FAIL,FAIL,FAIL,FAIL (11 inliers)
immagine con coso O.jpg,B07DHR42N9,PASS,PASS,FAIL,FAIL,FAIL,FAIL (12 inliers)
immagine con coso O.jpg,B0F1MKF5YG,PASS,PASS,FAIL,FAIL,FAIL,FAIL (10 inliers)
immagine con coso O.jpg,B0100XYQPQ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B09VC6SK2D,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B00ZMDKEFG,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0CQF93L47,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0CBVBMXFW,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0DNN9RSVY,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0FKCS8RTT,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0GXJXQ76R,PASS,PASS,PASS,FAIL,FAIL,FAIL (16 inliers)
immagine con coso O.jpg,B0GXF6XRHN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (7 inliers)
immagine con coso O.jpg,B0168S2Q4U,PASS,PASS,FAIL,FAIL,FAIL,FAIL (12 inliers)
immagine con coso O.jpg,B0H1RJ6YDT,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0DTV698NB,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B0D44VW3D8,PASS,PASS,PASS,PASS,PASS,PASS (37 inliers)
immagine con coso O.jpg,B0B1DPZ8FL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B07MMSWVMN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
immagine con coso O.jpg,B0B61QN1SN,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (8 inliers)
immagine con coso O.jpg,B0FNQB2QLV,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (5 inliers)
immagine con coso O.jpg,B00JYTPBSE,PASS,FAIL,FAIL,FAIL,FAIL,FAIL (6 inliers)
